Dataset,Model,Error,Intercept,E1/R1,E2/R2,E3/R3,R4,Rm,Interaction,Scale,SD/ln(SD)
Alpha-globin,Additive,Log-normal,-0.16,0.40,0.53,0.00,0.18,0.06,n/a,n/a,0.11
Alpha-globin,Exponential,Log-normal,-2.65,1.07,1.12,0.04,0.38,0.24,n/a,n/a,0.31
Alpha-globin,Logistic,Log-normal,84.57,2.37,3.20,-0.12,1.03,-87.78,n/a,0.95,0.10
Alpha-globin,Additive,Normal,-0.11,0.36,0.50,0.05,0.16,0.04,n/a,n/a,0.08
Alpha-globin,Exponential,Normal,-168.79,0.37,51.78,0.14,116.46,0.06,n/a,n/a,0.37
Alpha-globin,Logistic,Normal,56.54,66.64,67.56,-0.14,-72.53,-50.40,n/a,0.93,0.08
Wap,Additive,Log-normal,0.12,4.24,4.40,36.71,n/a,n/a,n/a,n/a,0.73
Wap,Exponential,Log-normal,-0.99,1.70,1.16,3.01,n/a,n/a,n/a,n/a,0.71
Wap,Logistic,Log-normal,-6.25,3.00,1.21,4.56,n/a,n/a,n/a,74.53,0.62
Wap,Additive,Normal,-32.49,34.97,21.56,57.24,n/a,n/a,n/a,n/a,30.19
Wap,Exponential,Normal,0.49,1.02,0.67,2.43,n/a,n/a,n/a,n/a,26.11
Wap,Logistic,Normal,-5.70,1.65,1.20,3.25,n/a,n/a,n/a,166.63,26.06
Wap,Logistic-H12,Log-normal,-6.26,3.18,1.50,4.46,n/a,n/a,-0.51,73.48,0.62
Wap,Logistic-H23,Log-normal,-6.21,3.18,0.91,4.30,n/a,n/a,0.77,73.28,0.61
